'sample interval','I'
'0.002 sec','mV'
0,-0.060
1,-0.050
2,-0.050
3,-0.055
4,-0.060
5,-0.060
6,-0.055
7,-0.055
8,-0.050
9,-0.040
10,-0.030
11,-0.030
12,-0.035
13,-0.040
14,-0.040
15,-0.040
16,-0.035
17,-0.035
18,-0.035
19,-0.035
20,-0.030
21,-0.020
22,-0.020
23,-0.020
24,-0.020
25,-0.020
26,-0.020
27,-0.015
28,-0.010
29,-0.010
30,-0.015
31,-0.010
32,-0.010
33,-0.010
34,-0.020
35,-0.020
36,-0.020
37,-0.030
38,-0.035
39,-0.040
40,-0.040
41,-0.040
42,-0.040
43,-0.040
44,-0.050
45,-0.055
46,-0.060
47,-0.060
48,-0.060
49,-0.060
50,-0.055
51,-0.050
52,-0.040
53,-0.040
54,-0.040
55,-0.050
56,-0.055
57,-0.060
58,-0.055
59,-0.050
60,-0.040
61,-0.040
62,-0.035
63,-0.035
64,-0.040
65,-0.055
66,-0.060
67,-0.060
68,-0.070
69,-0.075
70,-0.075
71,-0.075
72,-0.070
73,-0.070
74,-0.060
75,-0.060
76,-0.060
77,-0.060
78,-0.055
79,-0.055
80,-0.055
81,-0.060
82,-0.060
83,-0.060
84,-0.060
85,-0.060
86,-0.060
87,-0.070
88,-0.070
89,-0.060
90,-0.055
91,-0.060
92,-0.075
93,-0.075
94,-0.060
95,-0.050
96,-0.040
97,-0.040
98,-0.040
99,-0.050
100,-0.055
101,-0.060
102,-0.055
103,-0.040
104,-0.030
105,-0.020
106,-0.015
107,-0.015
108,-0.010
109,-0.015
110,-0.010
111,-0.010
112,0.000
113,0.015
114,0.030
115,0.040
116,0.040
117,0.040
118,0.050
119,0.055
120,0.060
121,0.060
122,0.055
123,0.050
124,0.035
125,0.035
126,0.030
127,0.035
128,0.035
129,0.040
130,0.040
131,0.040
132,0.035
133,0.030
134,0.020
135,0.030
136,0.035
137,0.040
138,0.040
139,0.040
140,0.040
141,0.040
142,0.040
143,0.040
144,0.035
145,0.030
146,0.030
147,0.035
148,0.040
149,0.035
150,0.020
151,0.000
152,-0.015
153,-0.020
154,-0.020
155,-0.020
156,-0.015
157,-0.010
158,-0.010
159,-0.015
160,-0.020
161,-0.030
162,-0.035
163,-0.040
164,-0.040
165,-0.040
166,-0.040
167,-0.040
168,-0.035
169,-0.030
170,-0.030
171,-0.035
172,-0.040
173,-0.040
174,-0.040
175,-0.035
176,-0.030
177,-0.030
178,-0.035
179,-0.040
180,-0.040
181,-0.055
182,-0.070
183,-0.080
184,-0.090
185,-0.095
186,-0.095
187,-0.080
188,-0.070
189,-0.055
190,-0.035
191,0.000
192,0.040
193,0.080
194,0.135
195,0.190
196,0.250
197,0.310
198,0.375
199,0.435
200,0.495
201,0.550
202,0.590
203,0.600
204,0.595
205,0.560
206,0.510
207,0.435
208,0.375
209,0.315
210,0.270
211,0.230
212,0.200
213,0.180
214,0.155
215,0.115
216,0.070
217,0.035
218,0.015
219,0.000
220,-0.015
221,-0.030
222,-0.040
223,-0.050
224,-0.050
225,-0.040
226,-0.040
227,-0.040
228,-0.050
229,-0.055
230,-0.055
231,-0.040
232,-0.035
233,-0.035
234,-0.050
235,-0.050
236,-0.055
237,-0.055
238,-0.060
239,-0.070
240,-0.075
241,-0.080
242,-0.075
243,-0.075
244,-0.070
245,-0.070
246,-0.060
247,-0.055
248,-0.050
249,-0.040
250,-0.035
251,-0.020
252,-0.010
253,-0.015
254,-0.030
255,-0.040
256,-0.035
257,-0.030
258,-0.020
259,-0.020
260,-0.020
261,-0.020
262,-0.020
263,-0.020
264,-0.020
265,-0.020
266,-0.020
267,-0.015
268,0.000
269,0.015
270,0.015
271,0.010
272,0.000
273,0.000
274,0.000
275,0.000
276,0.000
277,0.000
278,0.000
279,0.000
280,0.000
281,0.010
282,0.015
283,0.015
284,0.010
285,0.010
286,0.015
287,0.030
288,0.030
289,0.030
290,0.030
291,0.030
292,0.035
293,0.030
294,0.030
295,0.030
296,0.035
297,0.040
298,0.040
299,0.040
300,0.040
301,0.040
302,0.050
303,0.055
304,0.060
305,0.060
306,0.070
307,0.075
308,0.090
309,0.100
310,0.110
311,0.095
312,0.080
313,0.075
314,0.090
315,0.090
316,0.095
317,0.095
318,0.100
319,0.100
320,0.100
321,0.110
322,0.115
323,0.120
324,0.120
325,0.130
326,0.130
327,0.135
328,0.135
329,0.150
330,0.150
331,0.150
332,0.140
333,0.140
334,0.140
335,0.135
336,0.130
337,0.120
338,0.120
339,0.120
340,0.120
341,0.115
342,0.110
343,0.090
344,0.075
345,0.060
346,0.060
347,0.055
348,0.055
349,0.055
350,0.055
351,0.040
352,0.030
353,0.020
354,0.020
355,0.020
356,0.020
357,0.015
358,0.000
359,-0.015
360,-0.015
361,-0.010
362,-0.010
363,-0.010
364,-0.015
365,-0.015
366,-0.030
367,-0.030
368,-0.020
369,-0.015
370,-0.015
371,-0.020
372,-0.015
373,-0.015
374,-0.015
375,-0.020
376,-0.015
377,-0.010
378,-0.010
379,-0.015
380,-0.020
381,-0.020
382,-0.020
383,-0.020
384,-0.020
385,-0.020
386,-0.020
387,-0.020
388,-0.020
389,-0.020
390,-0.020
391,-0.020
392,-0.015
393,-0.020
394,-0.030
395,-0.040
396,-0.040
397,-0.035
398,-0.035
399,-0.035
400,-0.040
401,-0.040
402,-0.040
403,-0.035
404,-0.035
405,-0.035
406,-0.040
407,-0.040
408,-0.040
409,-0.040
410,-0.040
411,-0.040
412,-0.050
413,-0.055
414,-0.060
415,-0.060
416,-0.060
417,-0.055
418,-0.050
419,-0.040
420,-0.040
421,-0.040
422,-0.040
423,-0.035
424,-0.035
425,-0.035
426,-0.035
427,-0.030
428,-0.020
429,-0.030
430,-0.030
431,-0.030
432,-0.020
433,-0.030
434,-0.030
435,-0.030
436,-0.015
437,-0.015
438,-0.010
439,-0.010
440,-0.010
441,-0.015
442,-0.020
443,-0.020
444,-0.020
445,-0.020
446,-0.020
447,-0.020
448,-0.020
449,-0.020
450,-0.020
451,-0.020
452,-0.020
453,-0.020
454,-0.020
455,-0.020
456,-0.020
457,-0.020
458,-0.030
459,-0.035
460,-0.040
461,-0.050
462,-0.050
463,-0.050
464,-0.040
465,-0.050
466,-0.050
467,-0.040
468,-0.030
469,-0.030
470,-0.035
471,-0.040
472,-0.050
473,-0.055
474,-0.060
475,-0.055
476,-0.050
477,-0.050
478,-0.055
479,-0.060
480,-0.070
481,-0.075
482,-0.075
483,-0.070
484,-0.060
485,-0.060
486,-0.060
487,-0.040
488,-0.055
489,-0.055
490,-0.055
491,-0.055
492,-0.070
493,-0.070
494,-0.070
495,-0.070
496,-0.070
497,-0.070
498,-0.075
499,-0.075
500,-0.070
501,-0.070
502,-0.050
503,-0.070
504,-0.065
505,-0.065
506,-0.065
507,-0.065
508,-0.040
509,-0.035
510,-0.035
511,-0.035
512,-0.035
513,-0.035
514,-0.055
515,-0.030
516,-0.005
517,-0.020
518,0.000
519,0.005
520,-0.010
521,-0.010
522,-0.005
523,0.000
524,0.000
525,0.000
526,0.025
527,0.010
528,0.015
529,0.020
530,0.020
531,0.045
532,0.050
533,0.030
534,0.050
535,0.025
536,0.045
537,0.025
538,0.025
539,0.030
540,0.025
541,0.005
542,0.045
543,0.050
544,0.025
545,0.025
546,0.025
547,0.030
548,0.050
549,0.050
550,0.050
551,0.065
552,0.045
553,0.045
554,0.025
555,0.005
556,0.005
557,0.025
558,0.000
559,0.015
560,0.030
561,0.020
562,0.020
563,0.010
564,0.010
565,-0.015
566,-0.015
567,0.005
568,0.000
569,-0.045
570,-0.010
571,-0.015
572,-0.040
573,-0.065
574,-0.070
575,-0.070
576,-0.065
577,-0.065
578,-0.045
579,-0.065
580,-0.065
581,-0.050
582,-0.050
583,-0.050
584,-0.050
585,-0.050
586,-0.025
587,-0.025
588,-0.030
589,-0.035
590,-0.040
591,-0.060
592,-0.070
593,-0.095
594,-0.080
595,-0.070
596,-0.070
597,-0.075
598,-0.090
599,-0.100
600,-0.085
601,-0.060
602,-0.030
603,0.020
604,0.065
605,0.120
606,0.195
607,0.250
608,0.325
609,0.390
610,0.460
611,0.545
612,0.600
613,0.635
614,0.650
615,0.640
616,0.605
617,0.535
618,0.490
619,0.420
620,0.365
621,0.315
622,0.255
623,0.220
624,0.205
625,0.165
626,0.130
627,0.075
628,0.070
629,0.040
630,0.030
631,0.005
632,0.015
633,0.015
634,-0.005
635,0.015
636,0.015
637,0.015
638,-0.010
639,-0.015
640,-0.020
641,-0.025
642,-0.025
643,-0.005
644,-0.020
645,-0.025
646,-0.025
647,-0.025
648,-0.025
649,-0.025
650,-0.030
651,-0.045
652,-0.025
653,-0.025
654,-0.045
655,-0.025
656,-0.025
657,-0.005
658,-0.025
659,-0.025
660,-0.040
661,-0.040
662,-0.055
663,-0.030
664,-0.010
665,-0.030
666,-0.050
667,-0.065
668,-0.045
669,-0.040
670,-0.040
671,-0.020
