'sample interval','III'
'0.002 sec','mV'
0,0.040
1,0.020
2,0.020
3,0.025
4,0.040
5,0.040
6,0.035
7,0.035
8,0.030
9,0.020
10,0.010
11,0.010
12,0.015
13,0.020
14,0.020
15,0.020
16,0.015
17,0.020
18,0.025
19,0.035
20,0.030
21,0.020
22,0.030
23,0.030
24,0.020
25,0.010
26,0.020
27,0.030
28,0.025
29,0.010
30,0.000
31,-0.005
32,-0.005
33,-0.005
34,0.000
35,0.000
36,0.000
37,0.010
38,0.015
39,0.020
40,0.020
41,0.010
42,0.005
43,0.000
44,0.000
45,0.000
46,0.005
47,0.010
48,0.020
49,0.020
50,0.015
51,0.010
52,0.000
53,0.005
54,0.010
55,0.030
56,0.025
57,0.025
58,0.015
59,0.010
60,0.000
61,0.000
62,-0.015
63,-0.020
64,-0.015
65,0.005
66,0.020
67,0.020
68,0.030
69,0.025
70,0.025
71,0.035
72,0.035
73,0.035
74,0.020
75,0.020
76,0.020
77,0.010
78,0.000
79,0.000
80,0.000
81,0.010
82,0.005
83,0.005
84,0.005
85,0.010
86,0.025
87,0.035
88,0.035
89,0.020
90,0.015
91,0.020
92,0.035
93,0.035
94,0.020
95,0.010
96,0.005
97,0.010
98,0.020
99,0.030
100,0.040
101,0.050
102,0.055
103,0.050
104,0.045
105,0.040
106,0.035
107,0.035
108,0.040
109,0.050
110,0.050
111,0.060
112,0.055
113,0.045
114,0.030
115,0.015
116,0.015
117,0.015
118,0.020
119,0.020
120,0.020
121,0.020
122,0.025
123,0.030
124,0.045
125,0.045
126,0.050
127,0.045
128,0.040
129,0.030
130,0.020
131,0.020
132,0.020
133,0.020
134,0.020
135,0.020
136,0.020
137,0.020
138,0.020
139,0.015
140,0.015
141,0.015
142,0.020
143,0.015
144,0.015
145,0.020
146,0.025
147,0.025
148,0.015
149,0.005
150,0.010
151,0.020
152,0.035
153,0.035
154,0.030
155,0.010
156,0.000
157,-0.010
158,-0.020
159,-0.020
160,-0.020
161,-0.010
162,-0.005
163,0.005
164,0.005
165,0.005
166,0.005
167,0.010
168,0.015
169,0.010
170,0.010
171,0.005
172,0.005
173,0.005
174,0.010
175,0.015
176,0.010
177,0.010
178,0.015
179,0.020
180,0.010
181,0.025
182,0.035
183,0.040
184,0.035
185,0.035
186,0.035
187,0.020
188,0.015
189,0.000
190,-0.005
191,-0.030
192,-0.030
193,-0.030
194,-0.035
195,-0.020
196,-0.015
197,0.005
198,0.015
199,0.025
200,0.015
201,-0.035
202,-0.120
203,-0.210
204,-0.280
205,-0.305
206,-0.300
207,-0.265
208,-0.235
209,-0.200
210,-0.180
211,-0.170
212,-0.160
213,-0.150
214,-0.125
215,-0.085
216,-0.040
217,-0.015
218,-0.005
219,-0.015
220,-0.020
221,-0.010
222,0.000
223,0.010
224,0.010
225,0.005
226,0.010
227,0.020
228,0.030
229,0.035
230,0.025
231,0.010
232,0.000
233,0.000
234,0.010
235,0.010
236,0.015
237,0.015
238,0.020
239,0.030
240,0.040
241,0.045
242,0.040
243,0.035
244,0.035
245,0.040
246,0.040
247,0.035
248,0.030
249,0.010
250,0.000
251,-0.015
252,-0.010
253,0.000
254,0.030
255,0.040
256,0.045
257,0.030
258,0.020
259,0.010
260,0.010
261,0.010
262,0.030
263,0.035
264,0.035
265,0.030
266,0.020
267,0.015
268,0.000
269,-0.005
270,-0.005
271,0.005
272,0.015
273,0.020
274,0.020
275,0.020
276,0.015
277,0.015
278,0.015
279,0.030
280,0.030
281,0.020
282,0.005
283,0.015
284,0.020
285,0.020
286,0.005
287,-0.010
288,-0.010
289,0.000
290,0.005
291,0.010
292,0.005
293,0.010
294,0.010
295,0.010
296,0.005
297,0.000
298,-0.005
299,-0.005
300,-0.005
301,0.000
302,-0.010
303,-0.005
304,-0.010
305,-0.010
306,-0.035
307,-0.045
308,-0.060
309,-0.065
310,-0.070
311,-0.045
312,-0.025
313,-0.015
314,-0.030
315,-0.030
316,-0.025
317,-0.025
318,-0.030
319,-0.030
320,-0.020
321,-0.015
322,-0.020
323,-0.025
324,-0.025
325,-0.030
326,-0.030
327,-0.035
328,-0.035
329,-0.040
330,-0.035
331,-0.035
332,-0.025
333,-0.025
334,-0.020
335,-0.015
336,-0.010
337,0.000
338,0.000
339,0.000
340,0.000
341,0.000
342,0.000
343,0.010
344,0.025
345,0.040
346,0.035
347,0.035
348,0.025
349,0.025
350,0.020
351,0.020
352,0.025
353,0.035
354,0.035
355,0.030
356,0.020
357,0.025
358,0.035
359,0.050
360,0.045
361,0.040
362,0.030
363,0.030
364,0.035
365,0.030
366,0.045
367,0.040
368,0.030
369,0.015
370,0.015
371,0.020
372,0.025
373,0.025
374,0.030
375,0.030
376,0.030
377,0.020
378,0.020
379,0.025
380,0.030
381,0.030
382,0.020
383,0.020
384,0.020
385,0.020
386,0.030
387,0.030
388,0.030
389,0.020
390,0.010
391,0.010
392,0.005
393,0.010
394,0.015
395,0.020
396,0.025
397,0.025
398,0.025
399,0.020
400,0.020
401,0.010
402,0.010
403,0.005
404,0.005
405,0.000
406,0.000
407,0.000
408,0.005
409,0.010
410,0.010
411,0.010
412,0.020
413,0.025
414,0.025
415,0.025
416,0.030
417,0.035
418,0.030
419,0.010
420,0.010
421,0.010
422,0.020
423,0.015
424,0.005
425,0.005
426,0.000
427,0.000
428,-0.010
429,0.010
430,0.010
431,0.010
432,0.000
433,0.010
434,0.010
435,0.015
436,0.005
437,0.015
438,0.010
439,0.000
440,-0.005
441,0.000
442,0.010
443,0.020
444,0.010
445,0.005
446,0.000
447,0.005
448,0.010
449,0.010
450,0.005
451,0.000
452,0.000
453,0.000
454,0.000
455,0.000
456,0.000
457,-0.010
458,-0.005
459,-0.005
460,0.005
461,0.015
462,0.015
463,0.010
464,0.000
465,0.000
466,-0.005
467,-0.015
468,-0.020
469,-0.010
470,-0.005
471,-0.010
472,-0.005
473,-0.005
474,0.000
475,-0.005
476,-0.005
477,0.000
478,0.015
479,0.020
480,0.020
481,0.020
482,0.015
483,0.015
484,0.010
485,0.020
486,0.020
487,0.010
488,0.010
489,0.015
490,0.015
491,0.020
492,0.015
493,0.015
494,0.035
495,0.015
496,0.030
497,0.010
498,0.015
499,0.015
500,0.010
501,0.015
502,0.015
503,0.015
504,0.010
505,0.010
506,0.030
507,0.015
508,0.010
509,0.030
510,0.015
511,0.020
512,0.025
513,0.025
514,0.030
515,0.010
516,-0.015
517,0.000
518,0.000
519,-0.005
520,0.015
521,0.025
522,0.050
523,0.050
524,0.055
525,0.055
526,0.010
527,0.045
528,0.025
529,0.025
530,0.030
531,0.010
532,0.010
533,0.030
534,-0.015
535,-0.015
536,-0.015
537,0.010
538,0.025
539,0.020
540,0.020
541,0.040
542,-0.005
543,-0.010
544,0.005
545,0.000
546,-0.005
547,-0.025
548,-0.020
549,0.005
550,-0.015
551,-0.030
552,0.010
553,-0.015
554,0.005
555,0.000
556,0.020
557,0.015
558,0.020
559,0.000
560,0.005
561,0.005
562,0.000
563,-0.010
564,-0.035
565,-0.020
566,-0.005
567,-0.025
568,-0.045
569,-0.005
570,-0.020
571,-0.015
572,0.010
573,0.030
574,0.035
575,0.015
576,0.010
577,0.030
578,-0.005
579,0.035
580,0.035
581,0.020
582,0.020
583,0.020
584,0.015
585,0.015
586,-0.010
587,-0.005
588,0.000
589,0.000
590,0.020
591,0.020
592,0.025
593,0.045
594,0.005
595,0.010
596,0.025
597,0.030
598,0.045
599,0.035
600,0.040
601,0.005
602,-0.005
603,-0.025
604,-0.015
605,-0.015
606,-0.040
607,-0.005
608,-0.005
609,0.005
610,-0.020
611,-0.060
612,-0.095
613,-0.175
614,-0.290
615,-0.380
616,-0.390
617,-0.385
618,-0.380
619,-0.345
620,-0.315
621,-0.285
622,-0.240
623,-0.200
624,-0.190
625,-0.135
626,-0.100
627,-0.025
628,-0.025
629,-0.020
630,-0.070
